Area,Percentage,xval,yval
blr_12-34.tif,0,12,34
blr_12-35.tif,0,12,35
blr_12-36.tif,0,12,36
blr_12-37.tif,0,12,37
blr_12-38.tif,0,12,38
blr_12-39.tif,0,12,39
blr_12-4.tif,0,12,4
blr_12-40.tif,0,12,40
blr_12-41.tif,0,12,41
blr_12-43.tif,0,12,43
blr_12-44.tif,0,12,44
blr_12-45.tif,0,12,45
blr_12-46.tif,0,12,46
blr_12-47.tif,0,12,47
blr_12-48.tif,0,12,48
blr_12-49.tif,0,12,49
blr_12-5.tif,0,12,5
blr_12-50.tif,0,12,50
blr_12-51.tif,0,12,51
blr_12-52.tif,0,12,52
blr_12-53.tif,0,12,53
blr_12-54.tif,0,12,54
blr_12-55.tif,0,12,55
blr_12-56.tif,0,12,56
blr_12-57.tif,0,12,57
blr_12-58.tif,0,12,58
blr_12-6.tif,0,12,6
blr_12-60.tif,0,12,60
blr_12-61.tif,0,12,61
blr_12-62.tif,0,12,62
blr_12-63.tif,0,12,63
blr_12-64.tif,0,12,64
blr_12-65.tif,0,12,65
blr_12-66.tif,0,12,66
blr_12-67.tif,0,12,67
blr_12-68.tif,0,12,68
blr_12-69.tif,0,12,69
blr_12-7.tif,0,12,7
blr_12-70.tif,0,12,70
blr_12-71.tif,0,12,71
blr_12-72.tif,0,12,72
blr_12-8.tif,0,12,8
blr_12-9.tif,0,12,9
blr_13-10.tif,0,13,10
blr_13-11.tif,0,13,11
blr_13-12.tif,0,13,12
blr_13-13.tif,0,13,13
blr_13-14.tif,0,13,14
blr_13-15.tif,0,13,15
blr_13-16.tif,0,13,16
blr_13-17.tif,0,13,17
blr_13-18.tif,0,13,18
blr_13-19.tif,0,13,19
blr_13-2.tif,0,13,2
blr_13-20.tif,0,13,20
blr_13-21.tif,0,13,21
blr_13-22.tif,0,13,22
blr_13-23.tif,0,13,23
blr_13-24.tif,0,13,24
blr_13-25.tif,0,13,25
blr_13-27.tif,0,13,27
blr_13-28.tif,0,13,28
blr_13-29.tif,0,13,29
blr_13-3.tif,0,13,3
blr_13-30.tif,0,13,30
blr_13-31.tif,0,13,31
blr_13-32.tif,0,13,32
blr_13-33.tif,0,13,33
blr_13-34.tif,0,13,34
blr_13-35.tif,0,13,35
blr_13-36.tif,0,13,36
blr_13-37.tif,0,13,37
blr_13-38.tif,0,13,38
blr_13-39.tif,0,13,39
blr_13-4.tif,0,13,4
