D:/Work/CCBD/images2\bangalore_100-40.jpg,0.91
D:/Work/CCBD/images2\bangalore_100-41.jpg,0.84
D:/Work/CCBD/images2\bangalore_100-42.jpg,0.18
D:/Work/CCBD/images2\bangalore_100-43.jpg,0.25
D:/Work/CCBD/images2\bangalore_100-44.jpg,2.17
D:/Work/CCBD/images2\bangalore_100-45.jpg,6.13
D:/Work/CCBD/images2\bangalore_100-46.jpg,8.67
D:/Work/CCBD/images2\bangalore_100-47.jpg,6.31
D:/Work/CCBD/images2\bangalore_100-48.jpg,4.02
D:/Work/CCBD/images2\bangalore_100-49.jpg,5.74
D:/Work/CCBD/images2\bangalore_100-5.jpg,0.19
D:/Work/CCBD/images2\bangalore_100-50.jpg,3.3
D:/Work/CCBD/images2\bangalore_100-51.jpg,2.33
D:/Work/CCBD/images2\bangalore_100-52.jpg,9.9
D:/Work/CCBD/images2\bangalore_100-53.jpg,8.93
D:/Work/CCBD/images2\bangalore_100-54.jpg,14.0
D:/Work/CCBD/images2\bangalore_100-55.jpg,25.89
D:/Work/CCBD/images2\bangalore_100-56.jpg,16.39
D:/Work/CCBD/images2\bangalore_100-57.jpg,4.74
D:/Work/CCBD/images2\bangalore_100-58.jpg,21.24
D:/Work/CCBD/images2\bangalore_100-59.jpg,28.52
D:/Work/CCBD/images2\bangalore_100-6.jpg,0.11
D:/Work/CCBD/images2\bangalore_100-60.jpg,8.64
D:/Work/CCBD/images2\bangalore_100-61.jpg,6.9
D:/Work/CCBD/images2\bangalore_100-62.jpg,10.94
D:/Work/CCBD/images2\bangalore_100-63.jpg,5.94
D:/Work/CCBD/images2\bangalore_100-64.jpg,4.95
D:/Work/CCBD/images2\bangalore_100-65.jpg,19.06
D:/Work/CCBD/images2\bangalore_100-66.jpg,15.96
D:/Work/CCBD/images2\bangalore_100-67.jpg,14.67
D:/Work/CCBD/images2\bangalore_100-68.jpg,9.7
D:/Work/CCBD/images2\bangalore_100-69.jpg,5.94
D:/Work/CCBD/images2\bangalore_100-7.jpg,0.99
D:/Work/CCBD/images2\bangalore_100-70.jpg,1.94
D:/Work/CCBD/images2\bangalore_100-71.jpg,2.57
D:/Work/CCBD/images2\bangalore_100-72.jpg,0.08
D:/Work/CCBD/images2\bangalore_100-73.jpg,0.99
D:/Work/CCBD/images2\bangalore_100-74.jpg,1.09
D:/Work/CCBD/images2\bangalore_100-75.jpg,1.55
D:/Work/CCBD/images2\bangalore_100-76.jpg,0.95
D:/Work/CCBD/images2\bangalore_100-77.jpg,5.65
D:/Work/CCBD/images2\bangalore_100-78.jpg,1.95
D:/Work/CCBD/images2\bangalore_100-79.jpg,1.33
D:/Work/CCBD/images2\bangalore_100-8.jpg,0.59
D:/Work/CCBD/images2\bangalore_100-80.jpg,7.3
D:/Work/CCBD/images2\bangalore_100-81.jpg,1.36
D:/Work/CCBD/images2\bangalore_100-82.jpg,0.72
D:/Work/CCBD/images2\bangalore_100-83.jpg,11.94
D:/Work/CCBD/images2\bangalore_100-84.jpg,17.04
D:/Work/CCBD/images2\bangalore_100-85.jpg,0.47
D:/Work/CCBD/images2\bangalore_100-86.jpg,1.2
D:/Work/CCBD/images2\bangalore_100-87.jpg,0.43
D:/Work/CCBD/images2\bangalore_100-88.jpg,3.51
D:/Work/CCBD/images2\bangalore_100-89.jpg,1.05
D:/Work/CCBD/images2\bangalore_100-9.jpg,0.1
D:/Work/CCBD/images2\bangalore_100-90.jpg,11.62
D:/Work/CCBD/images2\bangalore_100-91.jpg,20.34
D:/Work/CCBD/images2\bangalore_100-92.jpg,3.75
D:/Work/CCBD/images2\bangalore_100-93.jpg,4.21
D:/Work/CCBD/images2\bangalore_100-94.jpg,6.15
D:/Work/CCBD/images2\bangalore_100-95.jpg,6.41
D:/Work/CCBD/images2\bangalore_100-96.jpg,1.72
D:/Work/CCBD/images2\bangalore_100-97.jpg,1.0
D:/Work/CCBD/images2\bangalore_100-98.jpg,0.91
D:/Work/CCBD/images2\bangalore_100-99.jpg,29.51
D:/Work/CCBD/images2\bangalore_101-1.jpg,1.5
D:/Work/CCBD/images2\bangalore_101-10.jpg,7.17
D:/Work/CCBD/images2\bangalore_101-100.jpg,14.74
D:/Work/CCBD/images2\bangalore_101-101.jpg,0.85
D:/Work/CCBD/images2\bangalore_101-102.jpg,0.5
D:/Work/CCBD/images2\bangalore_101-103.jpg,2.34
D:/Work/CCBD/images2\bangalore_101-104.jpg,2.28
